Salary,YearsCode,EdLevel,RemoteWork,Is_USA
85000.0,20.0,Bachelors,Remote,1
180000.0,10.0,Bachelors,Remote,1
41244.0,9.0,Bachelors,Remote,0
30773.0,5.0,Bachelors,Hybrid,0
115000.0,8.0,Masters,Hybrid,1
98000.0,7.0,Bachelors,Remote,1
64629.0,8.0,Bachelors,Remote,0
64444.0,15.0,Masters,Hybrid,0
107440.0,4.0,Bachelors,Hybrid,0
45284.0,20.0,Bachelors,Remote,0
71765.0,11.0,Masters,Remote,0
84000.0,13.0,Bachelors,Remote,0
65000.0,13.0,Bachelors,In-person,1
57325.0,14.0,Bachelors,Remote,0
106000.0,15.0,Bachelors,Hybrid,1
146496.0,15.0,Masters,Hybrid,0
48407.0,6.0,Bachelors,Remote,0
55851.0,8.0,Bachelors,In-person,0
